feedback_id,order_id,customer_id,rating,feedback_category,sentiment,feedback_date,customer_id_1,area,pincode,registration_date,customer_segment,total_orders,avg_order_value,order_id_1,product_id,quantity,unit_price,order_id_2,customer_id_2,order_date,promised_delivery_time,actual_delivery_time,delivery_status,order_total,payment_method,delivery_partner_id,store_id,campaign_id,campaign_name,target_audience,channel,impressions,clicks,conversions,spend,revenue_generated,roas,delay_minutes,sla_breach,profit,profit_margin,order_hour,day_name,peak_period
4456449,7863795715,52062129,2,Delivery,Negative,2024-10-15 13:58:00,52062129,Noida,201614,2023-05-23,Regular,26,361.71,7863795715,1346,1,264.79,7863795715,52062129,2024-10-13 13:58:00,2024-10-13 14:18:00,2024-10-13 14:40:54,Significantly Delayed,333.89,Credit Card,196,35,15,Daily Needs Offer,All Users,SMS,172,7,1,326.14,861.01,2.64,22.9,1,20.38,6.1,13,Sunday,Lunch
2883589,2571370503,10833346,3,Delivery,Neutral,2025-01-05 18:26:00,10833346,Pune,411224,2024-09-06,Gold,153,477.33,2571370503,1215,3,298.81,2571370503,10833346,2025-01-04 18:26:00,2025-01-04 18:41:00,2025-01-04 18:43:54,Slightly Delayed,1800.0,Cash on Delivery,160,51,11,Instant Delivery Offer,New Users,Email,250,11,1,509.1,2301.12,4.52,2.9,0,439.21,24.4,18,Saturday,Evening
9830407,5766381584,65542335,3,Delivery,Neutral,2025-04-25 22:07:00,65542335,Kolkata,700768,2024-07-08,Gold,52,388.82,5766381584,1311,4,215.31,5766381584,65542335,2025-04-22 22:07:00,2025-04-22 22:17:00,2025-04-22 22:26:54,Slightly Delayed,1595.06,Credit Card,167,23,16,App Push Notification,Existing Users,Influencer Campaign,148,6,1,198.1,582.41,2.94,9.9,0,302.73,18.98,22,Tuesday,Night
3538958,3303276570,75743472,5,Delivery,Positive,2025-01-16 22:55:00,75743472,Mumbai,400466,2023-10-30,Gold,151,538.6,3303276570,1243,4,112.72,3303276570,75743472,2025-01-11 22:55:00,2025-01-11 23:25:00,2025-01-11 23:23:48,On Time,548.21,Wallet,259,50,15,Daily Needs Offer,All Users,SMS,172,7,1,326.14,861.01,2.64,-1.2,0,110.22,20.11,22,Saturday,Night
1572879,2423259166,73416878,4,Packaging,Positive,2024-08-19 14:37:00,73416878,Bangalore,560342,2023-05-31,Gold,47,472.33,2423259166,1484,1,345.65,2423259166,73416878,2024-08-19 14:37:00,2024-08-19 14:47:00,2024-08-19 14:50:12,Slightly Delayed,523.49,Credit Card,259,53,11,Instant Delivery Offer,New Users,Email,250,11,1,509.1,2301.12,4.52,3.2,0,101.33,19.36,14,Monday,Lunch
5242894,9351987239,27051450,5,Delivery,Positive,2024-09-04 18:17:00,27051450,Mumbai,400482,2024-08-29,Inactive,8,171.34,9351987239,1217,2,27.28,9351987239,27051450,2024-09-02 18:17:00,2024-09-02 18:27:00,2024-09-02 18:21:00,On Time,80.01,Debit Card,243,33,4,Flash Sale,Premium Users,Google Ads,545,9,1,262.65,630.36,2.4,-6.0,0,-16.14,-20.17,18,Monday,Evening
8126481,6214910003,15228650,4,Delivery,Positive,2024-12-27 13:23:00,15228650,Ahmedabad,380995,2023-04-08,Gold,163,470.19,6214910003,1113,3,143.27,6214910003,15228650,2024-12-24 13:23:00,2024-12-24 13:38:00,2024-12-24 13:35:42,On Time,625.37,UPI,39,48,1,New User Discount,Existing Users,Facebook,368,8,1,504.13,1618.25,3.21,-2.3,0,110.75,17.71,13,Tuesday,Lunch
4063251,2964324409,46253244,2,Product Quality,Negative,2024-11-14 19:07:00,46253244,Chandigarh,160572,2024-08-16,Gold,160,648.82,2964324409,1409,4,90.99,2964324409,46253244,2024-11-13 19:07:00,2024-11-13 19:17:00,2024-11-13 19:39:30,Significantly Delayed,620.29,UPI,15,26,11,Instant Delivery Offer,New Users,Email,250,11,1,509.1,2301.12,4.52,22.5,1,93.37,15.05,19,Wednesday,Evening
7208987,9234808890,71136396,3,Delivery,Neutral,2025-05-04 16:17:00,71136396,Bangalore,560161,2024-05-08,Regular,44,326.76,9234808890,1366,2,190.02,9234808890,71136396,2025-05-01 16:17:00,2025-05-01 16:27:00,2025-05-01 16:34:06,Slightly Delayed,624.79,UPI,12,53,2,Weekend Special,Premium Users,Social Media,403,8,1,227.78,437.33,1.92,7.1,0,127.81,20.46,16,Thursday,Lunch
4587548,5196873787,34367115,4,Delivery,Positive,2025-05-21 09:43:00,34367115,Ahmedabad,380127,2024-11-24,Gold,140,508.89,5196873787,1151,5,54.96,5196873787,34367115,2025-05-16 09:43:00,2025-05-16 09:58:00,2025-05-16 10:02:54,Slightly Delayed,369.82,UPI,258,19,16,App Push Notification,Existing Users,Influencer Campaign,148,6,1,198.1,582.41,2.94,4.9,0,37.14,10.04,9,Friday,Morning
3276835,1462108224,20038140,3,Customer Service,Neutral,2025-04-30 16:37:00,20038140,Ahmedabad,380721,2024-05-11,Gold,152,612.27,1462108224,1315,1,107.47,1462108224,20038140,2025-04-29 16:37:00,2025-04-29 16:47:00,2025-04-29 16:50:12,Slightly Delayed,172.76,UPI,168,17,10,Diwali Bonanza,New Users,Email,177,7,1,179.37,335.43,1.87,3.2,0,7.67,4.44,16,Tuesday,Lunch
4849700,5003411521,44121310,1,Delivery,Negative,2025-02-11 23:11:00,44121310,Mumbai,400693,2024-07-02,Regular,25,312.68,5003411521,1144,3,275.4,5003411521,44121310,2025-02-11 23:11:00,2025-02-11 23:21:00,2025-02-11 23:38:30,Significantly Delayed,1670.56,UPI,37,50,15,Daily Needs Offer,All Users,SMS,172,7,1,326.14,861.01,2.64,17.5,1,379.41,22.71,23,Tuesday,Night
4063269,4296802372,92688632,2,Delivery,Negative,2025-02-03 12:48:00,92688632,Nagpur,440231,2024-09-13,Regular,32,333.48,4296802372,1098,4,72.11,4296802372,92688632,2025-02-01 12:48:00,2025-02-01 13:03:00,2025-02-01 13:14:48,Significantly Delayed,510.57,Cash on Delivery,256,74,5,Referral Program,New Users,Instagram,626,12,1,199.02,879.65,4.42,11.8,1,61.08,11.96,12,Saturday,Lunch
